,Giro
HILO PARA COSER Y BORDAR,1
ENSAMBLE DE MODULO FRONTAL,1
SERV. EDUCATIVOS LICENCIATURAS,1
Fab. y com de productos textiles,1
ABARROTES; MERCANCIA EN GENERAL Y PERECEDEROS,1
FABRICACION DE RELLENO PARA COLCHONES,1
FABRICACION DE ACEITES Y GRASAS VEGETALES,1
INDUSTRIAL,1
FABRICACIÃ“N Y MONTAJE DE ARTÃCULOS DE ACERO,1
GAS NATURAL ,1
PREPARACIÃ“N E HILADO DE FIBRAS BLANDAS,1
CONSTRUCCION,1
EDITORIAL,1
ESCUELA DE ENSEÃ‘ANZA,1
FAB. Y VENTA DE PARTES AUTOMOTRICES,1
COMERCIALIZADORA COMERCIO AL POR MAYOR DE ABARROTES,1
AUTOPARTES AUTOMOTRIZ,1
Textil- HILATURA - TEJIDO - ACABADO ,1
PRODUCCION Y VENTA DE POLLITA Y TODO LO RELACIONADO CON LA INDUSTRIA PECUARIA ,1
FABRICACION DE CAL,1
ARTICULOS PARA TAPICEROS,1
FABRICANTE Y COMERCIALIZADORA DE ARTÃCULOS PARA EL DESCANSO,1
EMBLEMAS BORDADOS ,1
COMERCIO AL POR MAYOR DE EQUIPO Y MATERIAL ELECTRICO,1
PRODUCCION DE HARINA Y PASTAS,1
SERVICIO MEDICO INTERNISTA Y GERIATRA,1
FAB. DE MAQUINAS E IMPLEMENTOS AGRICOLAS,1
ALMACENAMIENTO,1
FABRICACION DE ENVASES DE PAPEL,1
FAB. DE CERRADURAS PARA VEHICULOS ,1
FAB. DE ESTRUCTURAS DE ACERO,1
ELABORACION DE ALIMENTOS PARA AVES Y GANADO,1
FABRICACION DE LAMINA,1
COMPRA VENTA FABRICACIÃ“N EXPORTACIÃ“N E IMPORTACIÃ“N TODO LO RELACIONADO CON EL RAMO MEDICO,1
FAB Y SERVICIO DE MAQUINAS INDUSTRIALES,1
ACABADO Y TEÃ‘IDO DE TELAS,1
PRODUCCION Y VENTA DE HUEVO Y EMBRION LIBRE DE PATOGENOS ESPECIFICOS,1
INYECCION DE PARTES Y PLASTICOS,1
SERV. REP. DE AUTOMOVILES Y CAMIONES,1
FABRICACION DE CALCETAS; CALCETINES; TOBILLERAS Y OTRAS PRENDAS DE VESTIR,1
FABRICACION TODO TIPO DE TELAS TEJIDAS Y NO TEJIDA,1
TEJIDO DE ROPA EXTERIOR E INTERIOR DE PUNTO SEAMLESS,1
FABRICACION RECUBRIMIENTOS METALICOS,1
ELABORACION DE DULCE; BOMBONES Y CONFITURAS,1
FabricaciÃ³n de Telas,1
INYECCIÃ“N EXTRUSIÃ“N Y CONFECCIÃ“N DE PIEZAS PLÃSTICAS PARA EL SECTOR AUTOMOTRIZ ,1
FAB. DE EMBUTIDOS,1
TIENDA DEPARTAMENTAL DE ROPA,1
MANEJO DE RESIDUOS NO PELIGROSOS,1
Hilos para mechudo y trapeador,1
FABICACIÃ“N DE CARTONCILLO Y PAPEL PARA ENVOLTURA,1
HILADOS Y TEJIDOS DE ALG. Y FIB. ARTIF,1
SERVICIO DE INSTALACIONES ELECTRICAS,1
FABRICACION Y VENTA DE PRODUCTOS ALIMENTICIOS,1
ESCUELA DE EDUCACION MEDIA SUPERIOR DEL SECTOR PRIVADO,1
FABRICACION DE SIDRA Y DERIVADOS DE LA MANZANA,1
ELABORACIÃ“N DE DULCES; CHICLES Y PRODUCTOS DE CONFITERÃA QUE NO SEAN DE CHOCOLATE,1
VENTA DE ABARROTES,1
FABRICACION DE MUEBLES DE MADERA,1
FABRICACION DE PIEZAS INDUSTRIALES,1
FABRICANTES DE TELAS,1
FAB. DE ARTICULOS DE PLASTICO,1
FABRICACIÃ“N DE EQUIPO ELÃ‰CTRICO Y ELECTRÃ“NICO PARA EQUIPOS AUTOMOTORES,1
HOTEL,1
"CONFECCIÃ“N ROPA, UNIFORMES Y ROPA TIPO INDUSTRIAL",1
INDUSTRIALIZACION DE SEMILLAS OLEAGINOSAS,1
ETIQUETA LAMINADA /PELICULA,1
PRODUCCIÃ“N DE AUTOPARTES,1
VENTA DE CHILES SECOS Y SEMILLAS,1
SERVICIOS FINANCIEROS Y DE SEGUROS,1
TIENDA DE AUTO SERVICIO  CON VENTA DE VINOS Y LICORES EN BOTELLA CERRADA; PANADERIA.,1
CONSTRUCCIÃ“N ,1
TEJIDOS DE TELA,1
Fabricacion de telas anchas de trama e hilados ,1
AGENCIA AUTOMOTRIZ,1
MAQUILA DE ROPA,1
FAB. DE LIMPS. AROMATIZANTES Y SIMILARES,1
MANUFACTURA Y ENSAMBLE DE TAPETES AUTOMOTRICES Y PIEZAS MOLDEADAS ,1
EQUIPO CONTRA INCENDIO Y CAPACITACION,1
ELABORACION DE SIDRAS,1
FAB. HIL. Y TEJ. DE FIBRAS NAT. Y ARTIFICIALES,1
MAQUILA,1
DISTRIBUIDORA DE YOGURTH,1
IMPRENTA,1
FABRICACIÃ“N DE HILO Y PRODUCTOS TEXTILES,1
FABRICACION DE PRODUCTOS DE PAPELERIA,1
FABRICACIÃ“N; MAQUINADO; RE-ACONDICIONAMIENTO TODO LO RELACIONADO CON EL RAMO MEDICO Y QUIRURGICO,1
COSTURA; CONFECCION Y ENSAMBLE DE TAPETES,1
HILOS DE ALGODON Y POLIESTER Y SUS MEZCLAS,1
FAB. DE MAQUINARIA PARA CONSTRUCCION,1
CONFECCIONES,1
CONFECCION DE COFIAS Y GORRAS PARA COCINA,1
FABRICACION DE HILADOS,1
FABRICACION DE TELA PARA COLCHON,1
CONDUCTORES ELECTRICOS,1
FABRICACION DE TELA DE MEZCLILLA ,1
TEXTIL Y CONFECCION,1
HOTEL RESTAURANT Y BAR,1
HOSPITAL,1
REPARACION DE APARATOS ELECTRONICOS ,1
FABRICACION TOALLAS DE BAÃ‘O,1
PLANTA INDUSTRIAL DE HUEVO,1
FABRICACION DE MEDICAMENTOS,1
HILADOS Y TEJIDOS DE ALGODON Y MEZCLAS,1
OTROS PRODUCTOS,1
FABRICACIÃ“N DE TEJIDOS,1
PRODUCTO TERMINADO,1
FABRICACIÃ“N DE TELAS,1
FABRICACION Y DISTRIBUCION DE TABACO,1
DISEÃ‘O Y FABRICACION DE SISTEMAS DE AIRE,1
FABRICACION DE PIEZAS AUTOMOTRICES,1
ELABORACION DE CAJAS DE PLASTICO ,1
VENTA DE LAMINA PARA EL SECTOR AUTOMOTRIZ,1
ENSAMBLE DE AUTOPARTES,1
FABRICA DE PANELES DE ACERO PARA EDIFCACIONE DE VIVIENDA ,1
PRODUCCION Y VENTA DE GALLEETAS,1
LITOGRAFIA,1
BONETERIA,1
FABRICA DE PIEZAS AUTOMOTRICES ,1
FABRICACION DE ROPA PARA CABALLERO,1
SERVICIO DE TERMINAL DE AUTOBUSES,1
SUPERMERCADO,1
DISTRIBUCION DE GAS ,1
ELABORACION DE DERIVADOS Y FERMENTADOS LACTEOS,1
PRODUCCION DE CEMENTO,1
SERVICIO DE HOSPEDAJE,1
Acabados,1
FABRICACIONDE PRODUCTOS QUIMICOS,1
PRESTACIÃ“N DE SERVICIOS ADMINISTRATIVOS; JURÃDICOS CONTABLES,1
PRODUCTOS QUIMICOS Y PINTURA,1
ENSAMBLES,1
FAB. DE AGUA PURIFICADA,1
COMPRA VENTA DE AZUCAR Y DERIVADOS; ENVASADO DE AZUCAR Y DERIVADOS,1
PRODUCTOR DE QUIMICOS AROMATICOS ESENCIAS Y ACEITES PARA EL HOGAR,1
FABRICACION DE ETIQUETA,1
FAB. DE OTRAS PARTES Y ACCESORIOS PARA AUTOMOVILES,1
FABRICACION DE PRODUCTOS TEXTILES,1
INYECCIÃ“N Y PINTURAS DE PARTES AUTOMOTRICES ,1
COMERCIO AL POR MENOR EN SUPERMERCADOS,1
TEXTIL FABRICA DE COBERTORES COLCHAS Y ARTS TEXTIL,1
SERVICIO DE MANTENIMIENTO INTEGRAL,1
VENTA DE HERRAMIENTA Y MAQUINARIA INDUSTRIAL,1
CONSTRUCCION DE INMUEBLES COMERCIALES; INSTITUCIONALES Y DE SERVICIOS,1
CONFECCION DE PRENDAS DE VESTIR,1
TEXTIL ,1
DISTRIBUIDORA DE AUTOPARTES,1
FAB. DE BEBIDAS ALCOHOLICAS,1
SERVICIO Y PRÃCTICA DE ANÃLISIS CLÃNICOS,1
PRESTADORA DE SERVICIOS ADMINISTRATIVOS ,1
HILADOS DE ALGODON,1
TALLER MECANICO,1
FABRICACION DE AUTOPARTES  ( PISTONES ),1
PASTEURIZADORA DE LECHE,1
FAB. DE HILADOS; TEJIDOS Y ACAB. DE ALGODON Y F. S,1
MAQUILA DE MUEBLE RÃšSTICO,1
FABRICACIÃ“N DE AUTO PARTES ,1
ACTIVIDAD EMPRESARIAL,1
SERVICIO DE EDUCACION PRIMARIA SECUNDARIA BACHILLERATO,1
FABRICACION DE HILO CRUDO,1
HILATURA ,1
ACABADO DE FIBRAS; HILADOS; HILOS Y TELAS,1
CONSTRUCCION INDUSTRIA TRANSFORMACION ,1
ESCUELA,1
COMPRA VENTA Y FABRICACIÃ“N DE MOBILIARIO PARA INDUSTRIA; COMERCIO; OFICINA; HOSPITALES Y SUPERMERCADOS,1
AUTOPARTES INYECCION DE PLASTICO ,1
COMERCIO AL POR MENOR DE PLASTICOS,1
FABRICACIÃ“N DE OTRAS PARTES PARA VEHÃCULOS AUTOMOTRICES,1
PARQUE RECREATIVO ZOOLOGICO,1
FABRICACIÃ“N DE CONTROLES REMOTOS,1
TECNOLOGIAS DE INFORMACION,1
PRESTACION DE SERVICIOS,1
FABRICACION DE PASTAS,1
FAB DE AUTOPARTES ( ENSAMBLE DE PUERTAS BEETLE ),1
RESTAURANTE BAR,1
VENTA DE PERFUMES,1
FAB. DE ELEVADORES P/ AUTOS (AUTOPARTES),1
ESTRUCTURAS METALICAS PREFABRICADOS DE CONCRETO ,1
SOLUCIONES DE SEGURIDAD VIAL ,1
SERVICIO DE EDUCACION;PRIMARIA;SECUNDARIA;BACHILLERATO Y LICENCIATURA,1
FABRICA DE DULCES ,1
HOTELERIA,1
FABRICACION DE RODAMIENTOS Y BALEROS,1
REGALOS Y NOVEDADES,1
FABRICACION Y ENSAMBLE DE AUTOPARTES,1
TEXTILERA,1
TEXTIL HOGAR,1
COMPRA VENTA DE DULCES Y CHOCOLATES,1
HOTEL-RESTAURANTE,1
FUNDICION Y FAB. DE PRODUCTOS DERIVADOS DEL ACERO,1
HOSPITAL DE BENEFICIENCIA PRIVADA,1
FABRICA DE COLCHONES Y POLIETILENO,1
FABRICACION DE PARTES Y COMPONENTES DE INYECCIÃ“N DE PLÃSTICO COMO AUTO PARTES; PARTES PARA ELECTRODOMÃ‰STICOS Y BIENES DE CONSUMO DURADERO,1
FabricaciÃ³n de Hilo,1
FABRICACION Y CONFECCION DE TRAJES DE VESTIR,1
FABRICACION DE EXTRACTORES Y VENTILADORES,1
CONFECCIÃ“N DE OTRA ROPA DE MATERIALES TEXTILES,1
MANUFACTURAS DE PARTES AUTOMOTRICES,1
FABRICACION DE TOALLAS,1
FABRICACIÃ“N DE PARTES DE SISTEMAS DE DIRECCIÃ“N Y DE SUSPENSIÃ“N PARA VEHÃCULOS AUTOMOTORES,1
FABRICACION DE TUBOS DE ACERO INOXIDABLE,1
TRANSPORTADORA DE VALORES,1
FABRICACION DE TELAS,1
TEJIDOS DE ALGODON,1
FABRICACION DE TANQUES PARA GASOLINA ,1
FABRICACION DE GASA Y ALGODÃ“N,1
ELABORACION DE SIDRA,1
RECUBRIMIENTO DE PINTURAS Y AUTOPARTES,1
venta de refacciones automortices ,1
DISEÃ‘O; FABRICACIÃ“N E INSTALACIÃ“N DE SISTEMAS AUTOMATIZADOS DE APLICACIÃ“N DE PINTURA PARA LA INDUSTRIA METALMÃ‰CANICA; SISTEMAS DE TRANSPORTADORES AUTOMATIZADOS; PROCESOS DE ALTA TEMPERATURA Y MEDIO AMBIENTE,1
PRODUCTOS DE PAÃ‘ALES DESECHABLES Y TOALLAS SANITAR,1
ELABORACION DE REFRESCOS Y OTRAS BEBIDAS,1
COMPRA VENTA DE DISTRIBUICION Y REPRESENTACION DE TODO TIPO DE PRODUCTOS,1
CONTROL ADMINISTRATIVO PARA LA PRODUCCIÃ“N; IMPORTACIÃ“N; EXPORTACIÃ“N Y VENTA DE BEBIDAS ALCOHÃ“LICAS EN GENERAL,1
FABRICACION DE COJINES DECORATIVOS,1
UNIVERSIDAD PRIVADA,1
FABRICACION  DE PINTURAS E IMPERMEABILIZANTES,1
CONSTRUCTORA Y COMERCIALIZADORA DE MATERIAL,1
INSTITUCION DE BANCA MULTIPLE,1
COMPRA VENTA;IMPORTACION Y EXPORTACION DE LAMINAS Y PLACAS PARA LA INDUSTRIA AUTOMOTTRIZ,1
VENTA DE PAPEL Y ETIQUETAS IMPRESAS,1
 TELECOMUNICACION PROFESIONAL ,1
FABRICACIÃ“N COMPRA Y VENTA DE UNIFORMES GASTRONÃ“MICOS,1
COMPRA VENTA DE HORTALIZAS,1
RENTA DE BODEGAS,1
FABRICACION DE PARTES INZONORIZANTEZ,1
Hilados y TeÃ±idos ,1
FABRICACION Y COMERCIALIZACION DE HILOS,1
FAB. DE REFRESCOS DE COLA,1
OTROS SERVICIOS DE APOYO A LOS NEGOCIOS,1
FabricaciÃ³n de sÃ¡banas; toallas y batas de baÃ±o,1
EDUCACION MEDIA SUPERIOR Y POSGRADO,1
COMERCIALIZACION DE ENVASES DE PLASTICO,1
AGENCIA DE AUTOS REFACCIONES Y SERVICIOS,1
FABRICACIÃ“N DE HILO,1
CONSTRUCCION ,1
FabricaciÃ³n de Hilados,1
ELABORACION DE REFRESCOS,1
DISEÃ‘O; INYECCION Y RECUBRIMIENTO DE PLASTICO,1
TEÃ‘IDO Y ESTAMPADOS DE TELAS,1
VENTA DE PRODUCTOS PARA LA SALUD,1
FABRICACION DE HERRAMIENTAS,1
FABRICACIÃ“N DE ARTÃCULOS DE PLÃSTICO   ,1
SERVICIOS ADMINISTRATIVOS DE NEGOCIOS,1
FAB. C/V ARRENDAMIENTO IMPORTACIÃ“N; EXPORTACIÃ“N Y EL COMERCIO EN GRAL. DE PRODUCTOS QUÃMICOS Y PLÃSTICOS; ASÃ COMO DE ARTS. FABRICADOS,1
