,Giro
FUNDICION Y REFINACION DE METALES,1
RENTA DE SALON SOCIAL,1
SERV. PUBL. DE RADIOTELEFONIA MOVIL TEC. CELULAR,1
ESCUELAS; INSTITUTOS Y UNIVERSIDADES,1
FABRICA DE HIELO,1
REFACCIONES PARA TRAILERES,1
RESTAURANTE-PIZZERIA,1
FONDOS Y FIDEICOMISOS FINANCIEROS,1
CLINICA DE ATENCION MEDICA,1
COMERCIO DE LACTEOS,1
VENTA DE ALIMENTOS - COCINA ESPAÃ‘OLA ,1
EDUCACION PREESCOLAR,1
C/V DE PERFILES,1
MICROFINANZAS,1
COMERCIALIZACION DE PRODUCTOS DE ILUMINACION,1
FABRICACION DE PIEZAS DE MARMOL,1
CLUBES DEPORTIVOS DEL SECTOR PRIVADO,1
VENTA DE PIZZAS,1
TRANSPORTE DE CARGA,1
ZOOLOGICO,1
CONSTUCCION ,1
SERVICIO DE FOTOS,1
MATERIAS PRIMAS DE LA INDUSTRIA TEXTIL,1
FORMULACION Y VENTA DE DETERGENTES INDUSTRIALES,1
COMERCALIZADORA DE HORTALIZAS,1
C/V DE ALUMINIO Y ACCESORIOS,1
DISEÃ‘O INDUSTRIAL,1
FAB. DE HELADOS Y PALETAS,1
METALES ,1
RECUPERADORA DE PLASTICO,1
DISEÃ‘O Y DECORACION,1
SERV. DE TELEFONIA,1
PRODUCTOS LACTEOS,1
SERVICIOS DE EDUCACIÃ“N SUPERIOR,1
COMERCIALIZADORA DE PRODUCTOS DE PESCA,1
CONFECCIÃ“N Y COMERCIALIZACIÃ“N DE ROPA DE TRABAJO,1
CENTRO RECREATIVO,1
VENTA DE ALAMBRE,1
ESCUELAS DEL SECTOR PRIVADO QUE COMBINAN DIVERSOS NIVELES EDUCATIVOS,1
COMPRA VENTA DE REFRACCIONES INDUSTRIALES Y AUTOMOTRICES,1
SERVICIOS CONTABLES ,1
C/V DE PRODUCTOS DE ALIMENTOS Y MERCANCIAS EN GENERAL,1
COMPRA-VENTA DE EQUIPO DE COMPUTO Y ACSESORIOS,1
ACABADO Y TEJIDO DE FIBRAS BLANDAS,1
FAB. DE ACEROS Y ALEACIONES ESPECIALES,1
ENSEÃ‘ANZA DIFERENTES GRADOS ESCOLARES,1
CENTRO DE COPIADO; SERIGRAFIA Y ART. PROMOCIONALES,1
URDIDO Y ENGOMADOS,1
FABRICA DE SUMINISTROS Y MONTAJES DE ESTRUCTURAS METALICAS ,1
SERVICIO DE ALOJAMIENTO TEMPORAL,1
COMPRA VENTA DE PASTELES,1
COMPRA-VENTA DE FIERRO Y ACERO,1
FAB. DE REFACCIONES INDUSTRIALES DE PLASTICO,1
CLINICA DE ESPECIALIDADES,1
ELABORACIÃ“N Y DISTRIBUCIÃ“N DE PRODUCTOS MEDICINALES; QUÃMICOS Y FARMACEUTICOS,1
REP. Y MATTO. EN SISTEMAS DE EQUIPO DE BOMBEO,1
SERVICIOS EDUCATIVOS LICENCIATURAS Y POSGRADOS,1
C/V DE ARTICULOS DE PAPELERIA Y OFICINA,1
METAL-MECANICA,1
COMPRA/VENTA DE MATERIAL ELECTRICO,1
PISOS Y ACABADOS ,1
ASEGURADORA,1
FABRICACIÃ“N Y RESTAURACIÃ“N DE RELOJES MONUMENTALES Y OTROS.,1
COMPRA VENTA DE EQUIPO HIDRAULICO,1
HOTELES CON OTROS SERVICIOS INTEGRADOS,1
ESCUELA DE ENFERMERIA,1
EDIFICACION ,1
OTROS SERVICIOS PERSONALES,1
FABRICACIÃ“N DE HILOS DE ALGODÃ“N Y MEZCLAS,1
INSTALACIONES ELÃ‰CTRICAS EN MEDIDA Y BAJA TENSIÃ“N ,1
COMPRA VENTA DE DESPERDICIO INDUSTRIAL,1
TALLER DE TORNO ,1
FAB. Y REP. DE MAQUINARIA INDUSTRIAL,1
DISTRIBUIDORA DE ZAPATO,1
ALUMBRADO PUBLICO,1
VTA DE CARNE EN CAJA ,1
DISTRIBUCION Y VENTA DE ACEITE VEGETAL COMBUSTIBLE ENVASADO,1
FABRICACION DE COLORANTES PARA ALIMENTO,1
TELA EN TEJIDO DE PUNTO,1
FABRICACION DE GOMA BASE,1
ELABORACION DE ETIQUETAS BORDADAS,1
CAFETERIA Y FUENTE DE SODAS,1
IMPRESION; ENCUADERNACION Y LITOGRAFIA,1
CONSULTORIO MEDICO DE ULTRASONIDOS,1
REPARACION DE CILINDROS HIGRAHULICOS ,1
FAB. DE TEJIDO DE ROPA EXTERIOR DE PUNTO,1
ARTICULOS DE PAPELERIA,1
VENTA DE ABARROTES;JUGUETERIA;FARMACIA,1
FABRICACIÃ“N DE TAPETES DE BAÃ‘O; TAPETES DE ÃREA; HOTELERÃA; CESTOS DE ROPA; COJINES; CORTINAS DE BAÃ‘O,1
REPARACION DE EQUIPO DE BOMBEO,1
COMPRA VENTA DE LLANTAS; CAMARAS; MANTENIMIENTO MENOR DE SERVICIO AUTOMOTRIZ,1
COMPRA VENTA DE PRODUCTOS DE LIMPIEZA,1
C/V DE ROPA DE MARCA,1
VENTA DE PRODUCTOS QUIMICOS ,1
PREPARACIÃ“N Y SERVICIO DE ALIMENTOS EN RESTAURANTE,1
AGROINDUSTRIAL,1
FabricaciÃ³n de Tejidos,1
ANALISIS CLINICOS,1
EMBOTELLADORA DE AGUA,1
 SERVICIOS DE LABORATORIO,1
COMPRA VENTA FABRICACIÃ“N Y DISTRIBUCIÃ“N DE HERRAMIENTA DE CORTE,1
PREPARACIÃ“N Y SERVICIO DE COMIDA DE RESTAURANTE ,1
CONSTRUCTORA  ,1
COMPRA VENTA DE DESECHOS PLASTICOS,1
COMPRA Y VENTA DE ABARROTES EN GENERAL,1
FAB. DE MUEBLES METALICOS TUBULARES,1
SERVICIO DE TELECOMUNICACIONES,1
CONSTRUCCION DE PAVIMENTOS Y CARRETERAS,1
FABRICACION DE AUTOPARTES Y TRANS. DE METALES,1
FABRICA DE VINOS,1
EDIFICACIONES,1
COMERCIALIZACIÃ“N DE MOBILIARIO PARA BARES HOTELES Y RESTAURANTES,1
SERVICIO DE CONSULTORIA EN ADMINISTRACION ,1
COMPRA VENTA DE MEDICINA Y EQUIPOS E IMPLEMENTOS VETERINARIOS,1
VENTA DE TRACTORES AGRICOLAS,1
COMPRA-VENTA; CAPACITACIÃ“N; ASESORÃA DE EQUIPO DE TELECOMUNICACIONES,1
FLETES DE PRODUCTOS,1
RENTA DE TRANSPORTE Y MENSAJERIA,1
TERRACERÃAS; PAVIMENTACIÃ“N; CAMINOS; URBANIZACIONES Y  RENTA DE MAQUINARIA.,1
INSTITUCION DE EDUACACION SUPERIOR,1
INDUSTRI TEXTIL,1
ALMACEN DE ROPA,1
INSTALACIONES ELÃ‰CTRICAS PARA CONSTRUCCIÃ“N ,1
COMERCIO AL POR MAYOR DE MOBILIARIO Y EQUIPO DE OFICINA,1
FABRICACION DE ARTICULOS DE PLASTICO PARA  HOGAR,1
HERRAJES ,1
COMPRA; VENTA DE REGALOS Y NOVEDADES,1
PRESTACION DE SERVICIOS MEDICOS QUIRURGICOS,1
FABRICA DE CONOS PARA HELADOS ,1
LABORATORIO DE CALIDAD AMBIENTAL E INGENIERIA,1
VENTA DE CAMIONES Y AUTOMIVILES  NUEVOS,1
REPARACION Y MANTENIMIENTO DE EQUIPO INDUSTRIAL ,1
COMPRA VENTA DE BASCULAS,1
SERVICIOS HOSPITALARIOS,1
SERV. PUBL. DE RADIOTELEFONIA MOVIL Y CON CUALQUIER OTRA CLASE DE TECNOLOGIA CELULAR,1
COMERCIALIZACIÃ“N E INSTALACIÃ“N DE EQUIPOS Y ESTRUCTURAS METÃLICAS ,1
VENTA DE FRUTAS Y VERDURAS ,1
LABORATORIO DE AGUAS RESIDUALES Y POTABLE,1
COMPRA Y VENTA DE PRODUCTOS DE COMPUTO,1
REPARACION Y MANTENIMIENTO DE UNIDADES DIESEL,1
HIDRATACION Y COMERCIALIZACIÃ“N DE CAL,1
SERVICIO DE CONSTRUCCION,1
COMPRA; VENTA DE ART. PARA DECORACION Y REGALOS,1
COMERCIO AL POR MAYOR DE LIBROS,1
SERVICIOS DE DECORACION,1
VENTA DE CARNE DE AVES,1
VENTA Y DISTRIBUCION DE ACERO ESPECIAL,1
C/V DE ABARROTES Y ARTICULOS DE FARMACIA; PRODUCTOS POPULARES,1
JARDIN DE NIÃ‘OS Y PRIMARIA,1
COMPRA VENTA Y APLICACION DE IMPERMEABILIZANTES Y OTROS ,1
ELABORACION DE ALIMENTO PARA AVES Y GANADO,1
PRODUCIR CAJAS,1
COMERCIO AL POR MENOR DE CARNES,1
COMPRA VENTA DE ROPA,1
COMERCIO AL POR MAYOR DE ELECTRODOMESTICOS MENORES Y APARATOS DE LINEA BLANCA ,1
SERVICIOS FINANCIEROS ,1
PROMOTORA DE SEGUROS,1
CONSTRUCCIONES EN GRAL. CONSULTORIA,1
MANUFACTURA DE PIEZAS,1
FABRICA DE DULCES ,1
PREPARACIÃ“N Y VENTA DE ALIMENTOS,1
 FINANCIERA,1
SERVICIO DE CONSTRUCCION DE OBRAS PUBLICAS ,1
SIDRAS,1
MARKETING DIGITAL ,1
CONSTRUCCION DE EDIFICIOS METALICOS PREFABRICADOS,1
FABRICACION DE EQUIPO ELECTRONICO,1
C/V DE FERRETERIA EN GENERAL,1
CONSTRUCCION DE INMUEBLES COMERCIALES; INSTITUCIONALES Y DE SERVICIOS,1
FAB. DE POSTES DE CONCRETO,1
ESTRUCTURAS METÃLICAS ,1
COMPRA VENTA DE AUTOS NUEVOS Y USADOS,1
VENTA DE PERFILES PLASTICOS,1
COMPRA-VENTA DE ABARROTES,1
ARTES GRAFICAS ,1
COMERCIO AL POR MAYOR DE EQUIPO Y MATERIAL ELECTRICO,1
FABRICACION DE PRODUCTOS QUIMICOS Y SUS DERIVADOS,1
PROD DE LAVANDERIAS,1
MANUFACTURERA ,1
SERVICIO ELECTRICO ,1
ANUNCIOS PUBLICITARIOS,1
FABRICACION DE MEZCLAS,1
MATERIAL PARA HERRERIA,1
COMPRA VENTA DE GASOLINA; ACEITES Y ADITIVOS,1
FABRICACIÃ“N DE GRAVA Y OTRAS PIEDRAS,1
EXHIBICION DE PELICULAS CINEMATOGRAFIACAS,1
ESCUELA PARTICULAR,1
PORTAL EN INTERNET,1
LABORATORIO DE ANALISIS DEL AGUA ,1
SERVICIOS DE CONSULTORÃA EN INGENIERÃA CIVIL,1
LIMPIEZAS ECOLÃ“GICAS ,1
SERVICIO TALLER MECANICO INDUSTRIAL.,1
INMOBILIARIAS,1
SERV. EDUCATIVO PRIVADO,1
MEDICA ,1
FABRICA DE CARTON  Y DERIVADOS ,1
AUDITORIA FISCAL LEGAL PRECIOS DE TRANSFERENCIA Y COMERCIO EXTERIOR,1
TELAS,1
SERVICIOS EDUACTIVOS,1
FABRICACION DE LONAS,1
C/V MATERIAL PARA LA CONSTRUCCIÃ“N,1
DESARROLLO DE PROGRAMAS EDUCATIVOS PREESCOLAR Y PRIMARIA,1
COMPRA; VENTA DE MATERIAL PARA LAS ARTES GRAFICAS Y ACTIVIDADES CONEXAS,1
MUEBLERIA Y ELECTRODOMESTICOS ,1
OTROS SERVICIOS PERSONALIZADOS,1
SERVICIOS DE MENSAJERIA Y PAQUETERIA,1
PRODUCCIÃ“N; LABORACION Y DISTRIBUCIÃ“N DE PRODUCTOS QUÃMICOS METALÃšRGICOS Y SIMILARES ,1
SERV. QUIMICOS,1
VENTA DE MATERIALES PARA CONSTRUCCION,1
PRODUCCIÃ“N Y VENTA DE ALIMENTOS ,1
FAB. DE CINTAS Y ETIQUETAS ADHESIVAS,1
MANTENIMIENTO Y EQUIPO DE VAPOR ,1
SERVICIO EN RESTAURANTE,1
PRESTAMOS FINANCIEROS,1
DISTRIBUCION Y VENTA DE CEMENTO Y MATERIAL PARA CONSTRUCCION,1
FABRICACION DE GALLETAS,1
RENTA DE BIENES INMUEBLES,1
COMERCIO AL POR MENOR DE GASOLINA Y DIESEL,1
INVESTIGACION; FORMULACION; COMERC. PRODUC. AGROINDUSTRIALES,1
FAB. DE CONCRETO,1
FABRICACIÃ“N DE IMPLANTES QUIRÃšRGICOS E INSTRUMENTAL MÃ‰DICO,1
COMERCIO AL POR MAYOR DE PRODUCTOS PROBIOTICOS,1
FABRICACION DE PERSIANAS Y CORTINEROS,1
FABRICACION DE HERRAMIENTAS PARA PLOMERIA,1
SERVICIO DE EQUIPO CONTRA INCENDIO,1
RADIOLOGÃA MEDICA,1
GASOLINERA ,1
COMPRA VENTA DE ARTICULOS DE FERRETERIA; TLAPALERIA; MATERIALES PARA CONSTRUCCION,1
PREPARACION Y VENTA DE ALIMENTOS EN CAFETERIA,1
EDUCACION PRESCOLAR Y PRIMARIA,1
PRODUCCION DE ALIMENTOS,1
COMERCIO AL POR MAYOR DE MOBILIARIO; EQUIPO E INSTRUMENTAL MEDICO Y DE LABORATORIO,1
VENTA DE TUBOS,1
C/V DE PRODUCTOS FARMACEUTICOS,1
DISTRIBUIDORA DE MEDICAMENTO,1
MAQUILADORA DE ROPA,1
VENTA DE GASOLINA,1
ARRENDAMIENTO DE CAMIONES PARA CARGA,1
C/V DE MEDICINA FARMACEUTICA,1
SERVICIOS FUNERARIOS,1
ESCUELA DE NATACION,1
COMERCIO AL POR MAYOR DE FIBRAS; HILOS; TELAS Y CONSTRUCCION,1
DESARROLLO DE MANPOS DE SISTEMAS DE CONTROL,1
COMPRA VENTA DE AUTOS ,1
C/V DE EQUIPO DE COMPUTO Y ACCESORIOS,1
FabricaciÃ³n de Telas anchas de trama,1
QUIMICOS,1
FUNDICION DE PIEZAS METALICAS,1
COMPRA / VENTA DE ROPA CASUAL,1
FABRICACION DE TEJA; LOSETA Y DEMAS ARTS. DE BARRO,1
RECEPCIÃ“N; CLASIFICACIÃ“N; COMERCIALIZACIÃ“N Y PROCESAMIENTO DE TODA CLASE DE DESECHOS SOLIDOS,1
FABRICACION DE PUAS,1
AVALUOS PRENDATARIOS Y PRODUCTOS FINANCIEROS,1
PRODUCCION Y VENTA DE POSTRES,1
FABRICA DE MUEBLES RUSTICOS,1
REPARACION DE REMOLQUES ,1
ESCUELA CON DIFERENTES NIVELES EDUCATIVOS,1
FABRICACION DE EMPAQUES PARA AUTOPARTES,1
SERVICIOS DE REPARACION; MANTENIMIENTO DE AUTOMOVILES Y CAMIONES,1
COMPRA VENTA DE REFACCIONES INDUSTRIALES,1
SERVICIOS EDUCATIVOS DE PREPARATORIA,1
MANUFACTURA DE INDUCCION DE AIRE,1
PREPARACIÃ“N; VENTA; SERVICIO DE ALIMENTOS,1
COMERCIO AL POR MENOR DE ART. DE LIMPIEZA,1
MAQUINADOS INDUSTRIALES,1
VENTA Y DISTRIBUCION DE PRODUCTOS FARMACEUTICOS,1
FABRICACIÃ“N DE TELAS TEJIDAS DE PUNTO,1
PREPARCION DE ALIMENTOS ,1
ADMINISTRACION DE OTRAS OBRAS Y CONSTRUCCION,1
DISTRIBUIDORA DE MEDICAMENTOS,1
SERVICIO EDITORIAL DE REVISTAS,1
IMPRENTA ,1
PRODUCCIÃ“N Y SERVICIO DE ALIMENTOS ,1
DISTRIBUIDOR DE PRODUCTOS DE LIMPIEZA,1
FABRICACION DE SUETERES,1
MAQUILA DE PROCESOS A CLIENTES ,1
FABRICANTE DE TELAS,1
ESCUELA DE ENSEÃ‘ANZA EN DIFERENTES NIVELES EDUCATIVOS,1
COMPRA VENTA Y SERVICIO DE AUTOMOVILES NUEVOS Y USADOS,1
HELADOS Y PALETAS,1
SEGURIDAD PRIVADA Y LIMPIEZA,1
PROYECTOS Y CONSTRUCCION,1
SERVICIO DE CONSULTORIA EN ADMINISTRACION,1
MEDICA,1
ESCUELA EN DISTINTOS NIVELES ACADEMICOS,1
FABRICACION; COMPRA-VENTA DE PRODUCTOS TEXTILES,1
FILTROS Y MALLAS ,1
REPARACION DE EQUIPO PARA LA AUTOMATIZACION DE MAQUINARIA,1
SERVICIOS DE INVESTIGACION DE PROTECCION Y CUSTODIA,1
COMPRA; VENTA DE MATERIAL ELECTRICO,1
VENTA DE PLASTICOS,1
FAB. DE ENGRANES,1
COMERCIO DE ARTICULOS PARA EL HOGAR,1
SEGURIDAD PRIVADA,1
MEDICAMENTOS DE ALTA ESPECILIDAD,1
COMPRA VENTA DE MATERIALES PARA CONSTRUCCION,1
ENSEÃ‘ANZA,1
C/V DE ABARROTES EN GENERAL,1
ESCUELA  PRIMARIA,1
VENTA Y MANTENIMIENTO DE EQUIPO MEDICO; CONSUMIBLES; ACCESORIOS Y REFACCIONES,1
COMERCIALIZADORA DE BEBIDAS,1
VENTA DE ABARROTES Y SEMILLAS EN GENERAL,1
POLIETILENO ,1
FABRICACION DE BLOCK VIGUETA Y BOVEDILLA,1
FABRICACION; VENTA DISTRIBUCION DE ABRASIVOS,1
LABORATORIO CLINICO,1
REFACCIONES INDUSTRIALES,1
SERVICIO DE CLUB DEPORTIVO,1
COMERCIO AL POR MENOR DE PLASTICOS,1
MANTENIMIENTO Y AUTOMATIZACION DE MAQUINARIA EN GENERAL ,1
SOLDADURAS ESPECIALES,1
CLUB DEPORTIVO,1
ARRENDAMIENTO DE MAQUINARIA PARA CONSTRUCCION,1
SERVICIOS CORPORATIVOS DE PERSONAL,1
VENTA DE CDS,1
FABRICACION DE RESINAS Y ALMIDONES,1
AGENCIA DE VIAJES,1
SERVICIO DE RESTAURANT-BAR,1
VENTA DE SEGUROS,1
FABRICACION DE ENVASES DE PLASTICO,1
RENTA Y VENTA DE MONTACARGAS,1
FABRICACION DE PRODUCTOS SIVERSOS DE P.V.C.,1
MERCERIA,1
SERVICIOS DE ENSEÃ‘ANZA PARA PREPARATORIA,1
SERVICIOS DE HOSPEDAJE TEMPORAL,1
COMERCIO AL POR MENOR DE AUTOMOVILES Y CAMIONETAS NUEVAS CUYA PROPULSION SEA ATRAVES DE BATERÃAS ELÃ‰CTRICAS RECARGABLES ,1
SERVICIO DE TELEVISION,1
COMERCIO AL MAYOREO,1
VENTA DE ACCESORIOS PARA CELULARES,1
VENTA DE GAS EN CILINDRO O PO KILO,1
VENTA DE ALIMENTOS - COMIDA ESPAÃ‘OLA,1
CONSTRUCCION DE AUTOPISTAS; CARRETERAS Y CAMINOS,1
SERVICIOS EDUCATIVOS UNIVERSITARIOS,1
COMIDA RAPIDA,1
TORNO Y SOLDADURA AUTOMOTRIZ Y MANTENIMIENTO,1
SOLDADURAS Y MANTENIMIENTO INDUSTRIAL,1
ELABORACION DE ALGODON ABSORBENTE Y MATERIAL DE CURACION ,1
FAB. ARTICULOS ESCOLARES EN MADERA,1
FAB. DE EQUIPO NEUMATICO PARA LA AUTOMATIZACION DE MAQUINARIA Y EQUIPO INDUSTRIAL,1
RESTAURANTE ,1
MAQUILA Y COMERCIALIZACIÃ“N DE REFACCIÃ“N DE ELECTRODOMÃ‰STICO,1
DISTRIBUCION DE MEDICINAS ,1
 GASOLINERIA,1
VENTA DE EQUIPO MEDICO,1
ELABORACIÃ“N; SUPERVISIÃ“N; CAPACITACIÃ“N Y ASESORÃA DE CALIDAD EN TODO TIPO DE PRUEBAS DE LABORATORIO PARA OÂ¿LA INDUSTRIA DE LA CONSTRUCCIÃ“N,1
INMOBILIARIA Y CORREDORES DE BIENES RAICES,1
ALIMENTOS ,1
CONFECCION,1
VENTA DE BASCULAS,1
ELABORACION DE OTRA BEBIDA NO ALCOHOLICA,1
ENSEÃ‘ANZA DE ESTUDIOS SUPERIORES,1
PRODUCTOS PARA IMPRENTA,1
PISOS,1
FABRICACION DE VIDRIO Y ALUMINIO,1
EXTRACCION DE MARMOL ,1
DISTRIBUCION DE MEDICAMENTOS VETERINARIOS ,1
PREPACION DE ALIMENTOS,1
EDUCATIVO,1
VENTA DE TARIMAS Y ARMADAS YPRODUCTOS DE MADERA PARA LA IDUSTRIA,1
VENTA DE ABARROTES Y ARTICULOS DE FARMACIA ,1
FabricaciÃ³n de cintas rigidas y elÃ¡sticos bordados y lisos. ,1
COMPRA; VENTA DE GASOLINA; DIESEL; ACEITES Y LUBRICANTES,1
SERVICIO PARA DISEÃ‘O Y DECORACION DE INTERIORES,1
INSTITUTO DE ENSEÃ‘ANZA,1
COMPRA VENTA DE VIDRIO Y ALUMINIO,1
VENTA AL POR MENOR DE PLASTICOS,1
URBANIZACION ,1
COMPRA VENTA Y MANTENIMIENTO DE BASCULAS,1
RESTAURANTE-BAR ,1
RESTAURANTE Y HOTEL,1
ESCUELA DE EDUCACION ,1
VENTA DE AUTOMOVILES NUEVOS HONDA,1
FABRICA DE MUEBLES DE FORJA,1
SERV. PUBLICO DE RADIOTELEFONIA MOVIL O CON CUALQUIER OTRO TIPO DE TECNOLOGIA,1
FABRICACION DE AUTOPARTES DE PLASTICO,1
PRODUCCIÃ“N Y VENTA DE ALIMENTOS,1
PORCELANIZADO DE METALES Y RECUBRIMIENTO VITREO,1
FAB. DE HERRAMIENTA DIAMANTADA,1
